Product ID,Barkod (EAN Number),Product Name,Price,Currency,Category,Brand,Ana görsel,Image 1,Image 2,Image 3,Image 4,Image 5,Diğer görseller,Product URL,Açıklama
9225074,3800202099607,XMART TAŞINABİLİR MULTİMEDYA PROJEKTÖR MPP-40,169,BGN,"TV, Ses ve Elektronik > Projektörler",XMART,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09225074/67188f8bd2191.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09225074/67188f8d5e802.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09225074/67188f8f76bb7.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09225074/67188f9188007.jpg.webp,,,,https://www.technomarket.bg/proektori/xmart-portable-multimedia-projector-mpp-40-09225074,"30W LED lambalı (280 ANSI Lümen) multimedya projektörü.
LED lamba ömrü: 50.000 saat.
Akıllı telefon/tablet ekranının projektöre kablosuz aktarımı (Yansıtma).
Önceden yüklenmiş multimedya oynatıcıya ve Google Play'den uygulama ekleme özelliğine sahip Android 11 işletim sistemi.
Projeksiyon boyutu: 130″'ye (330 cm) kadar.
Otomatik trapezoid düzeltme ve hassas manuel odak ayarı.
Çözünürlük: 1280 x 720 piksel, 4K@30fps'yi destekler.
USB Flash bellekten veya HDMI girişi aracılığıyla oynatma.
Kulaklık bağlamak için dahili 3W hoparlör ve 3,5 mm ses çıkışı.
Uzaktan kumandayla tamamlayın."
9218978,8715946706849,EPSON CO-W01,699,BGN,"TV, Ses ve Elektronik > Projektörler",EPSON,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09218978/6618e8c99b73e.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09218978/6618e8cbaed42.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09218978/6618e8d0c2b08.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09218978/6618e8d32d971.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09218978/6618e8d59627a.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09218978/6618e8d8b2bb5.jpg.webp,,https://www.technomarket.bg/proektori/epson-co-w01-09218978,"PROJEKTÖR
ÇÖZÜNÜRLÜK: 1200 X 800(WXGA)
FORMAT: 16:10
EKRAN BOYUTU: 25 - 378""
TASARIM MESAFESİ: 1,64 m.
PARLAKLIK: 3000 lm
RENK ARALIĞI: 16,77 m.
TEKNOLOJİ: LCD
LAMBA ÖMRÜ: 6000 saat.
YÜKSEK HOPARLÖRLER: VAR
BAĞLANTI NOKTALARI: HDMI 1.4, USB 2.0
RENK: BEYAZ"
9216193,8806094951776,SAMSUNG SP-LFF3CLA SERBEST STİL AKILLI,1099,BGN,"TV, Ses ve Elektronik > Projektörler",SAMSUNG,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09216193/64eceb152806d.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09216193/64eceb16b6442.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09216193/64eceb1869b71.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09216193/64eceb1a0cf19.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09216193/64eceb1d67ef1.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09216193/64eceb20b69a1.jpg.webp,,https://www.technomarket.bg/proektori/samsung-sp-lff3cla-the-freestyle-smart-09216193,EKRAN BOYUTU: 30
9188047,5557678898987,ACER PROJEKTÖR X128HP,819,BGN,"TV, Ses ve Elektronik > Projektörler",ACER,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09188047/6077de34291d4.jpg.webp,,,,,,,https://www.technomarket.bg/proektori/acer-projector-x128hp-09188047,PROJEKTÖR
9175143,4710180062793,ACER PROJEKTÖR X1126AH,728,BGN,"TV, Ses ve Elektronik > Projektörler",ACER,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09175143/5d415857e49d5.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09175143/5d4158592eb69.jpg.webp,,,,,,https://www.technomarket.bg/proektori/acer-projector-x1126ah-09175143,"PROJEKTÖR
KONTRAST: 20.000:1
ÇÖZÜNÜRLÜK: 800x600
TEKNOLOJİ: DLP
RENK: SİYAH"
9225101,8806095545325,SAMSUNG SP-LPU9D PREMIERE AKILLI 4K,9399,BGN,"TV, Ses ve Elektronik > Projektörler",SAMSUNG,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09225101/670fa0bf83676.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09225101/670fa0c150678.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09225101/670fa0c37cbd0.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09225101/670fa0c6031a3.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09225101/670fa0c7db33a.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09225101/670fa0ca893e0.jpg.webp,,https://www.technomarket.bg/proektori/samsung-sp-lpu9d-premiere-smart-4k-09225101,"EKRAN BOYUTU: 100 ila 130"" (254-330 CM)
ÇÖZÜNÜRLÜK: 4K ULTRA HD 3840 x 2160
Üçlü lazer teknolojisi
Kuantum İşlemci 4K
Parlaklık (ISO Lümen): 3450 lümen
Kuantum HDR, HDR 10+, HLG
Gerçek Derinlik Artırıcı
Game Motion Plus, Süper Ultra Geniş Oyun Görünümü
İŞLETİM SİSTEMİ: Tizen™
Bluetooth, Wi-Fi Doğrudan
HDMIX3, USBX1
RADYO: DVB-T2/C/S2
Uyarlanabilir Ses Pro, Q-Senfoni
Dolby Atmos, 360 Ses
SES 40 W -2.2.2CH"
9173388,4713883197915,ACER PROJEKTÖR P5630,1649,BGN,"TV, Ses ve Elektronik > Projektörler",ACER,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09173388/5ceb98fe9c1c8.jpg.webp,,,,,,,https://www.technomarket.bg/proektori/acer-projector-p5630-09173388,"PROJEKTÖR
KONTRAST: 20.000:1
ÇÖZÜNÜRLÜK: 1920x1200
TEKNOLOJİ: DLP
RENK: BEYAZ"
9218979,8715946706825,EPSON CO-FH01,999,BGN,"TV, Ses ve Elektronik > Projektörler",EPSON,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09218979/6618e910db0f7.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09218979/6618e91698a75.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09218979/6618e919b4ad5.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09218979/6618e91c2d611.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09218979/6618e91eb83cd.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09218979/6618e92147c80.jpg.webp,,https://www.technomarket.bg/proektori/epson-co-fh01-09218979,"PROJEKTÖR
ÇÖZÜNÜRLÜK: 1920 X 1080 (FullHD)
FORMAT: 16:9
EKRAN BOYUTU: 26 - 391""
TASARIM MESAFESİ: 1,64 m.
PARLAKLIK: 3000 lm
RENK ARALIĞI: 16,77 m.
TEKNOLOJİ: LCD
LAMBA ÖMRÜ: 6000 saat.
YÜKSEK HOPARLÖRLER: VAR
BAĞLANTI NOKTALARI: HDMI 1.4, USB 2.0
RENK: BEYAZ"
9228841,6942351409382,HISENSE Hisense C2 4K 2000lm,2649,BGN,"TV, Ses ve Elektronik > Projektörler",HISENSE,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09228841/67ff4b5b77def.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09228841/67ff4b560b36b.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09228841/67ff4b62b6adc.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09228841/67ff4b6503121.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09228841/67ff4b67bf495.jpg.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09228841/67ff4b6a11cc3.jpg.webp,,https://www.technomarket.bg/proektori/hisense-c2-4k-2000-lm-09228841,"Maksimum çözünürlük: Ultra HD 3840x2160
Frekans: 50 Hz, 60 Hz
Kontrast: 1700:1
HLD teknolojisi: Evet
Dolby Vision: Evet
Ultra HD'ye Yayınlama: Evet
Oyunlar modunda gecikme: 60 ms
Çıkış gücü: 2x10 W
Ses teknolojisi: DTS Virtual X, DTS HD
Temel uygulamalar: Netflix, YouTube, Prime Video, Disney+, FIFA+"
9218598,3800916014309,NEO LED-32H3M HD LED TV,199,BGN,"TV, Ses ve Elektronik > Televizyonlar > 32 ""_ 42 """,NEO,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09218598/65646423cde97.png.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09218598/6564642793d6b.JPG.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09218598/6564642f4576a.png.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09218598/65646431d5ffc.png.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09218598/6564643637738.png.webp,https://cdn.technomarket.bg/ng/media/cache/mid_thumb/uploads/library/product/09218598/6564643857bca.png.webp,,https://www.technomarket.bg/televizor/neo-led-32h3m-hd-led-tv-09218598,"NEO LED-32H3M HD LED TV
32"" (81 CM) EKRAN BOYUTU
1366X768 DPI HD ÇÖZÜNÜRLÜK
PARLAKLIK 200 PPI
KONTRAST 4000:1
AÇI - 178°X178°
3XHDMI, 2XUSB, CI"
